[jnyz-app/server]2024/05/19 - 22:11:50.739	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:11:50.771	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:12:14.269	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:12:14.344	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:12:14.378	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:12:21.653	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:12:21.688	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:12:21.718	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:13:17.094	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:13:17.117	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
